b	家
p	想
m	些
f	中
d	也
t	去
n	看
l	他
g	之
k	来
h	生
j	就
q	有
x	好
z	第
c	过
s	都
r	会
v	对
w	这
y	能
ba	八 8 八
bo	分
be	比
bi	必
bu	实
b;	完
b,	公
b.	本 B b
b/	定
pa	木
po	校
pe	机
pi	皮
pu	相
p;	样
p.	🈚️ P p
ma	马 A a
mo	末 O o
me	么 E e
mi	没有 I i
mu	目 U u
m;	免
m,	（
m.	） M m
m/	水
fa	吧
fo	口
fe	非
fi	吃
fu	夫
f;	反
f,	方
f.	跟 F f
f/	嗯
da	大
do	得
de	着
di	而
du	但是
d;	前
d,	为
d.	很 D d
d/	东
ta	它
to	几
te	他们
ti	地
tu	土
t;	田
t,	；
t.	： T t
t/	同
na	手
no	国
ne	内
ni	四
n;	年
n,	网
n.	找 N n
n/	用
la	六 6 六
lo	老
le	别
li	你
lu	做
l;	子
l,	意
l.	那 L l
l/	另 0 零
ga	后
go	所
ge	个
gi	质
gu	度
g;	干
g,	广
g.	问 G g
g/	共
ka	再
ko	到
ke	一
ki	开
ku	没
k;	天
k,	两
k.	事 K k
k/	可以
ha	山
ho	火
he	回
hi	自
hu	还是
h;	点
h,	业
h.	先 H h
h/	种
ja	甲 9 九
jo	说
je	多
ji	以
ju	句
j;	见
j,	就是
j.	金 J j
j/	发
qa	右
qo	左
qe	切
qi	七 7 七
qu	曲
q;	全
q,	？
q.	！ Q q
q/	友
xa	下
xo	小
xi	西
xu	要
x;	她
x,	向
x.	现在 X x
x/	兄
za	这样
zo	早
ze	知道
zi	只
zu	自己
z;	这个
z,	长
z.	真 Z z
z/	等
ca	感
co	刀
ci	才
cu	出
c;	原
c,	期
c.	其 C c
c/	成
sa	所以
so	儿
se	学
si	十 4 四
su	什么
s;	三 3 三
s,	上
s.	当 S s
s/	性
ra	肉
ro	如果
re	最
ri	日
ru	时
r;	电
r,	然后
r.	人 R r
r/	从
va	进
vo	又
ve	给
vi	二 2 二
vu	动
v;	专
v,	“
v.	” V v
v/	经
wa	我们
wo	言
we	未
wi	理
wu	无 5 五
w;	变
w,	王
w.	文 W w
w/	高
ya	由
yo	一个
ye	月
yi	已 1 一
yu	与
y;	因为
y.	🈚️ Y y
bb	空
bm	疤
bf	宫
bd	军
bt	疯
bn	宜
bl	字
bk	病
bh	赛
bj	察
bq	宠
bx	案
bz	疑
bc	宽
bs	害
br	寓
bv	宗
bw	客
by	爸
pb	松
pp	楚
pm	朴
pd	楼
pt	桂
pn	极
pl	李
pg	述
pk	槽
ph	桃
pj	概
px	杠
pz	梅
pc	模
ps	构
pr	查
pv	标
pw	格
py	桥
mb	瞎
mm	步
mf	驶
md	骑
mt	黑
ml	勉
mg	骗
mk	驱
mh	睡
mj	验
mz	瞬
mc	龄
ms	置
mv	北
mw	驻
my	幽
fb	哔
fm	路
ff	品
fd	辈
ft	喂
fn	员
fl	哪
fg	听
fk	号
fh	呼
fj	哈
fq	呀
fx	吵
fz	族
fc	喊
fs	贵
fr	啥
fv	啊
fw	咯
fy	蛇
db	资
dp	数
dm	还
df	总
dd	道
dt	待
dn	面
dl	准
dg	态
dk	关
dh	微
dj	净
dq	彻
dx	律
dz	御
dc	减
ds	转
dr	单
dv	行
dw	美
dy	後
tp	栽
tm	盐
tf	袁
td	增
tt	封
tn	圾
tl	男
tg	塘
tk	域
th	赫
tj	埋
tz	起
tc	城
ts	均
tr	界
tv	坛
tw	略
ty	却
nb	指
np	困
nm	把
nf	操
nd	因
nt	持
nn	拥
nl	接
ng	据
nk	打
nh	拍
nj	换
nq	拔
nx	抄
nz	授
nc	团
ns	求
nr	提
nv	择
nw	图
ny	刚
lb	华
lm	修
lf	保
ld	书
lt	佳
ln	孩
ll	位
lg	通
lk	部
lh	加
lj	似
lq	优
lx	低
lz	作
lc	颜
ls	值
lr	但
lv	买
lw	住
ly	效
gb	屁
gp	麻
gm	爬
gf	强
gd	弹
gt	鞋
gn	间
gl	局
gg	房
gk	屋
gh	店
gj	废
gq	费
gx	近
gc	席
gs	应
gr	刷
gv	层
gw	弦
gy	黄
kb	深
kp	婆
km	政
kf	可
kd	平
kt	法
kn	测
kl	汤
kg	派
kk	河
kh	活
kj	互
kq	遭
kx	式
kz	海
kc	满
ks	带
kr	更
kv	清
kw	流
ky	区
hb	崇
hp	程
hm	息
hf	战
hd	乎
ht	选
hn	物
hl	杂
hg	乏
hk	灯
hh	虚
hj	岁
hq	身
hx	炒
hz	炸
hc	岸
hs	片
hr	邀
hv	追
hw	峰
hy	系
jb	谐
jp	途
jm	色
jf	拿
jd	被
jt	谓
jn	调
jl	母
jg	外
jk	试
jh	话
jj	够
jq	既
jx	语
jz	许
jc	解
js	读
jr	课
jv	然
jw	该
jy	诶
qb	龙
qm	存
qf	钟
qd	链
qt	铅
qn	钢
ql	镜
qg	错
qk	铺
qh	铁
qj	尤
qq	郁
qx	键
qs	销
qr	铃
qv	钱
qw	锋
qy	雄
xb	嫁
xm	肃
xf	娱
xd	嫌
xt	娃
xn	建
xl	五
xg	娘
xk	功
xh	群
xj	辩
xx	婚
xc	媒
xs	姑
xr	巫
xv	配
xw	婷
xy	始
zb	爱
zp	彩
zm	算
zf	喜
zd	知
zl	符
zg	简
zk	策
zh	缺
zj	答
zq	笼
zx	筑
zz	遥
zc	貌
zs	舞
zr	制
zv	款
zy	笔
cb	营
cp	厢
cm	萝
cf	咸
cd	顺
ct	压
cn	英
cl	历
cg	芝
ck	世
ch	愿
cj	警
cq	荐
cx	威
cz	菜
cc	藏
cs	基
cr	幕
cv	某
cw	荒
cy	董
sb	索
sp	耗
sm	艳
sf	常
sd	怀
st	怯
sn	直
sl	快
sg	惜
sk	民
sh	怕
sj	惯
sq	考
sx	叔
sz	朝
sc	懂
ss	愤
sr	慢
sv	情
sw	忙
sy	惨
rb	晕
rp	颗
rm	曼
rd	伞
rn	遇
rl	领
rg	暴
rk	量
rh	星
rj	影
rz	题
rc	照
rs	易
rr	众
rv	晴
rw	禽
ry	盟
vb	院
vm	武
vd	阵
vt	陵
vn	责
vl	难
vk	结
vh	表
vj	除
vq	随
vx	避
vz	临
vc	怼
vs	远
vr	阶
vv	际
vw	降
vy	运
wb	亮
wp	琳
wm	处
wf	衷
wd	班
wt	惫
wn	球
wl	务
wg	瑕
wh	衣
wj	望
wz	瑶
wc	琪
ws	逢
wr	珍
wv	玩
ww	琴
wy	离
yb	脂
yp	霜
ym	肥
yf	露
yd	服
yt	脚
yl	幼
yg	划
yk	腻
yh	胜
yj	脸
yq	希
yx	腰
yz	腹
yc	震
ys	重
yr	零
yw	脑
yy	胎
bba	穴
bbe	爸爸
bbi	比 宓
bpa	宋
bpi	疲
bfa	办法
bfe	痱
bf.	部分
bda	表达
bdu	百度
bd;	疖
bto	冗
btu	冤
bno	鹎
bgu	容
bg;	不管
bg.	痕
bko	包括
bke	本科
bha	疝
bho	灾
bhu	保护
bja	疚
bjo	比较
bji	北京
bju	背景
bj/	毕竟
bqe	并且
bq;	痊
bxo	安
bxe	疟
bxu	必须
bx;	表现
bx.	宰
bze	帮助
bzu	定
bz.	标准
bz/	保证
bco	分
bce	不错
bci	保持
bc.	守
bc/	补充
bse	本身
bsi	表示
bsu	疫
bs.	审
bri	旨
bru	比如
br.	别人
bvi	官 郫
bw.	敝
bya	宙 宦
byo	公
bye	毕业
byi	父
byu	写
